article,form,material,color,brand,category,temples_length,lens_width,bridge_width,price,seasonality,gender,age_group
",",овальная,титан,серебряный,Ray-Ban,оптика,150,48,16,3860,всесезонная,унисекс,пожилой
0002-4,овальная,пластик,серебряный,Tom Ford,оптика,135,52,19,28726,всесезонная,мужской,средний
0002O-003,квадратная,титан,белый,Ray-Ban,солнцезащитные,150,52,14,9420,летняя,женский,пожилой
0003-2,прямоугольная,титан,синий,Lacoste,оптика,140,52,20,21431,всесезонная,женский,пожилой
0003-4,кошачий_глаз,металл,синий,Prada,оптика,135,52,14,23676,всесезонная,мужской,средний
0003-5,круглая,титан,золотой,Gucci,солнцезащитные,145,52,18,11224,летняя,унисекс,пожилой
0006-1,прямоугольная,пластик,коричневый,Gucci,солнцезащитные,135,52,19,9170,летняя,женский,пожилой
0006-2,круглая,пластик,коричневый,Valentino,солнцезащитные,145,52,14,17350,летняя,мужской,молодой
0006-3,кошачий_глаз,титан,белый,Polaroid,солнцезащитные,130,52,17,11529,летняя,женский,молодой
0006-4,квадратная,комбинированный,черный,Lacoste,оптика,130,52,20,19448,всесезонная,унисекс,пожилой
0006-5,овальная,металл,серый,Tom Ford,оптика,150,48,20,33972,всесезонная,мужской,молодой
0008-HT8,прямоугольная,пластик,черный,Lacoste,солнцезащитные,150,50,17,11392,летняя,мужской,пожилой
0009-1,овальная,металл,серебряный,Gucci,оптика,135,50,14,35896,всесезонная,унисекс,пожилой
0009-2,овальная,комбинированный,синий,Valentino,солнцезащитные,130,52,18,41736,летняя,мужской,молодой
0009-4,овальная,металл,золотой,Lacoste,оптика,150,50,16,4678,всесезонная,мужской,средний
0012-2,квадратная,металл,коричневый,Polaroid,солнцезащитные,145,52,17,12789,летняя,мужской,средний
0012-3,прямоугольная,металл,синий,Tom Ford,оптика,130,46,14,26460,всесезонная,унисекс,средний
0012-4,овальная,металл,коричневый,Ray-Ban,оптика,150,46,16,12474,всесезонная,мужской,пожилой
0013-1,квадратная,титан,черный,Oakley,оптика,130,48,17,20879,всесезонная,мужской,пожилой
0013-2,квадратная,титан,черный,Prada,солнцезащитные,140,46,15,9272,летняя,мужской,средний
0013-3,квадратная,металл,серый,Polaroid,оптика,135,54,17,8855,всесезонная,мужской,средний
0013-5,овальная,титан,серый,Lacoste,солнцезащитные,130,54,17,7931,летняя,мужской,средний
0014-PJP,квадратная,металл,золотой,Prada,солнцезащитные,140,54,16,29548,летняя,унисекс,пожилой
0015-1,прямоугольная,титан,синий,Prada,солнцезащитные,145,46,14,22676,летняя,унисекс,средний
0015-4,прямоугольная,металл,черный,Gucci,солнцезащитные,135,48,16,9604,летняя,унисекс,средний
0017-2,прямоугольная,металл,белый,Gucci,солнцезащитные,130,52,18,38742,летняя,женский,пожилой
0018-1,овальная,комбинированный,серый,Gucci,оптика,145,46,17,20800,всесезонная,унисекс,молодой
0018-2,прямоугольная,пластик,серый,Ray-Ban,солнцезащитные,130,50,14,12637,летняя,женский,средний
0018-3,круглая,пластик,серый,Oakley,солнцезащитные,150,46,17,23817,летняя,женский,молодой
0018O-003,прямоугольная,титан,синий,Polaroid,солнцезащитные,140,46,14,24295,летняя,унисекс,пожилой
0019-3,кошачий_глаз,комбинированный,коричневый,Lacoste,солнцезащитные,140,50,15,20429,летняя,женский,средний
002-100,квадратная,металл,золотой,Ray-Ban,оптика,150,50,17,10022,всесезонная,унисекс,молодой
002-200,кошачий_глаз,пластик,серебряный,Gucci,солнцезащитные,140,52,14,43178,летняя,женский,молодой
002-BLK,овальная,титан,черный,Oakley,оптика,145,54,18,15468,всесезонная,унисекс,молодой
002-PNK,круглая,комбинированный,коричневый,Prada,солнцезащитные,135,50,19,9632,летняя,мужской,пожилой
0020-2,овальная,пластик,белый,Lacoste,солнцезащитные,135,46,14,6009,летняя,женский,пожилой
0021O-006,кошачий_глаз,пластик,синий,Tom Ford,солнцезащитные,135,50,15,20412,летняя,женский,молодой
0022-2,квадратная,титан,серебряный,Valentino,солнцезащитные,145,46,19,44668,летняя,мужской,пожилой
0025-000,круглая,пластик,синий,Lacoste,оптика,140,46,15,16403,всесезонная,унисекс,средний
0025-1,круглая,пластик,синий,Oakley,оптика,140,52,18,12907,всесезонная,женский,молодой
0025-2,кошачий_глаз,комбинированный,золотой,Ray-Ban,солнцезащитные,150,52,19,18979,летняя,унисекс,пожилой
0026-3,кошачий_глаз,пластик,золотой,Tom Ford,оптика,135,50,14,21974,всесезонная,унисекс,пожилой
0027-1,круглая,металл,белый,Valentino,солнцезащитные,150,46,17,34524,летняя,женский,молодой
0028-2,круглая,титан,коричневый,Valentino,солнцезащитные,130,54,18,39792,летняя,женский,молодой
0028-3,кошачий_глаз,пластик,серебряный,Tom Ford,оптика,140,52,15,25324,всесезонная,унисекс,молодой
0029-2,кошачий_глаз,комбинированный,черный,Gucci,солнцезащитные,145,54,17,24870,летняя,мужской,средний
0029-NHK,круглая,пластик,коричневый,Polaroid,солнцезащитные,150,52,15,7452,летняя,унисекс,средний
003-200,квадратная,титан,серебряный,Prada,солнцезащитные,150,52,20,10978,летняя,мужской,молодой
003-500,прямоугольная,пластик,серый,Tom Ford,солнцезащитные,145,46,14,7702,летняя,женский,пожилой
003-700,овальная,металл,черный,Polaroid,оптика,135,50,17,8387,всесезонная,женский,молодой
003-BROWN,круглая,металл,серый,Lacoste,солнцезащитные,135,50,20,6373,летняя,женский,средний
003-NERO,круглая,пластик,коричневый,Polaroid,солнцезащитные,135,50,14,19281,летняя,унисекс,средний
003-NVY,кошачий_глаз,титан,золотой,Valentino,оптика,130,54,18,28676,всесезонная,женский,средний
003-RED,овальная,металл,серый,Gucci,оптика,145,48,14,11934,всесезонная,унисекс,пожилой
0030-000,квадратная,комбинированный,серебряный,Tom Ford,солнцезащитные,130,50,14,30086,летняя,мужской,молодой
0030-1,квадратная,пластик,серебряный,Oakley,оптика,140,50,14,11787,всесезонная,женский,молодой
0032-1,прямоугольная,пластик,синий,Ray-Ban,оптика,145,50,15,7360,всесезонная,унисекс,молодой
0032-2,квадратная,титан,серый,Prada,оптика,150,52,18,14982,всесезонная,унисекс,молодой
0033-1,круглая,комбинированный,коричневый,Polaroid,оптика,135,54,16,24545,всесезонная,унисекс,молодой
0033-2,прямоугольная,металл,белый,Prada,оптика,135,52,14,19602,всесезонная,женский,средний
0034-1,круглая,металл,белый,Oakley,оптика,140,48,15,16964,всесезонная,женский,молодой
0034-2,кошачий_глаз,металл,коричневый,Oakley,оптика,145,46,20,16807,всесезонная,унисекс,молодой
0036-1,прямоугольная,комбинированный,серый,Ray-Ban,оптика,150,52,19,6141,всесезонная,унисекс,пожилой
0036-2,овальная,металл,серебряный,Valentino,солнцезащитные,135,52,19,36970,летняя,мужской,молодой
0036-3,квадратная,комбинированный,серебряный,Gucci,оптика,145,46,20,26300,всесезонная,женский,молодой
0039-1,кошачий_глаз,пластик,белый,Gucci,солнцезащитные,145,54,18,16058,летняя,женский,пожилой
0039-2,кошачий_глаз,титан,серый,Tom Ford,оптика,140,52,14,28006,всесезонная,мужской,пожилой
004-ANTIC,квадратная,металл,коричневый,Gucci,оптика,140,46,16,17290,всесезонная,мужской,средний
004-BLK,кошачий_глаз,титан,белый,Tom Ford,солнцезащитные,145,52,15,7334,летняя,мужской,средний
004-CHR,квадратная,титан,серый,Ray-Ban,солнцезащитные,130,46,14,7964,летняя,женский,молодой
004-GREY,кошачий_глаз,пластик,серый,Tom Ford,солнцезащитные,150,48,16,40616,летняя,женский,пожилой
004-PTL,круглая,комбинированный,серебряный,Valentino,оптика,150,46,19,6018,всесезонная,женский,средний
0040-1,овальная,металл,белый,Lacoste,солнцезащитные,130,50,16,17512,летняя,женский,молодой
0040-2,овальная,комбинированный,черный,Valentino,оптика,150,52,14,26688,всесезонная,женский,пожилой
0040-4,кошачий_глаз,комбинированный,серебряный,Oakley,оптика,150,54,15,18106,всесезонная,мужской,пожилой
0042-2,квадратная,комбинированный,серебряный,Polaroid,оптика,150,52,19,8997,всесезонная,женский,молодой
0042-3,круглая,пластик,белый,Tom Ford,солнцезащитные,140,50,15,12838,летняя,женский,средний
0044-1,квадратная,металл,синий,Polaroid,солнцезащитные,150,54,19,7858,летняя,мужской,пожилой
0044-4,прямоугольная,пластик,коричневый,Lacoste,оптика,135,48,15,18781,всесезонная,мужской,пожилой
0045-1,прямоугольная,металл,коричневый,Prada,оптика,130,52,19,26418,всесезонная,унисекс,средний
0045-3,кошачий_глаз,титан,белый,Gucci,оптика,130,48,14,43128,всесезонная,женский,средний
0045O-001,кошачий_глаз,пластик,серый,Polaroid,солнцезащитные,140,50,16,8569,летняя,унисекс,молодой
0046-1,овальная,пластик,золотой,Lacoste,оптика,145,46,16,18183,всесезонная,унисекс,пожилой
0046-2,кошачий_глаз,пластик,серый,Tom Ford,оптика,140,54,18,26322,всесезонная,мужской,средний
0047-1,квадратная,металл,черный,Oakley,оптика,145,48,19,16716,всесезонная,мужской,молодой
0047-2,овальная,металл,белый,Valentino,солнцезащитные,130,46,19,34248,летняя,унисекс,средний
0047-3,кошачий_глаз,металл,белый,Lacoste,оптика,145,46,14,23527,всесезонная,унисекс,молодой
0048-2,круглая,титан,синий,Lacoste,солнцезащитные,135,54,15,3302,летняя,мужской,пожилой
0048-4,овальная,комбинированный,синий,Prada,солнцезащитные,140,52,18,16252,летняя,мужской,средний
0049-3,квадратная,комбинированный,серебряный,Prada,солнцезащитные,145,48,20,9812,летняя,женский,молодой
005-100,прямоугольная,металл,черный,Oakley,оптика,150,52,14,19509,всесезонная,мужской,пожилой
005-200,круглая,комбинированный,черный,Polaroid,оптика,145,50,15,9371,всесезонная,женский,молодой
005-300,круглая,комбинированный,серый,Ray-Ban,солнцезащитные,150,54,14,24785,летняя,женский,молодой
005-700,прямоугольная,пластик,серый,Polaroid,солнцезащитные,130,50,16,21117,летняя,унисекс,молодой
005-BLACK,круглая,титан,золотой,Tom Ford,солнцезащитные,140,52,20,16684,летняя,мужской,средний
005-BROWN,овальная,пластик,черный,Oakley,оптика,135,50,15,21935,всесезонная,унисекс,молодой
005-GUN,круглая,пластик,золотой,Polaroid,солнцезащитные,140,52,14,9469,летняя,женский,пожилой
005-YLW,кошачий_глаз,пластик,серый,Valentino,оптика,145,54,16,31882,всесезонная,унисекс,молодой
0050-1,кошачий_глаз,комбинированный,белый,Valentino,солнцезащитные,145,48,18,6018,летняя,мужской,молодой
0050-3,квадратная,металл,серый,Polaroid,оптика,140,46,18,13568,всесезонная,мужской,средний
0052-2,овальная,металл,белый,Polaroid,солнцезащитные,145,50,16,11567,летняя,женский,средний
0052-3,овальная,металл,серебряный,Tom Ford,солнцезащитные,145,50,18,49704,летняя,женский,молодой
0052O-009,круглая,пластик,золотой,Prada,оптика,130,54,15,6154,всесезонная,женский,средний
0054-2,овальная,металл,коричневый,Tom Ford,солнцезащитные,130,46,14,25020,летняя,женский,молодой
0055O-005,кошачий_глаз,титан,серый,Lacoste,оптика,140,50,20,23417,всесезонная,унисекс,средний
0057-KDX,кошачий_глаз,металл,золотой,Ray-Ban,солнцезащитные,140,52,18,18374,летняя,мужской,молодой
0057O-001,квадратная,пластик,золотой,Polaroid,оптика,135,48,18,20334,всесезонная,унисекс,средний
0058-4,кошачий_глаз,титан,золотой,Oakley,оптика,150,54,18,9371,всесезонная,унисекс,молодой
0058O-002,овальная,комбинированный,золотой,Prada,солнцезащитные,145,48,16,38956,летняя,унисекс,молодой
006-BLACK,круглая,пластик,серый,Prada,солнцезащитные,145,48,18,34306,летняя,мужской,средний
006-VIOLET,овальная,титан,золотой,Gucci,оптика,145,52,18,7654,всесезонная,женский,пожилой
0066-807,круглая,металл,коричневый,Gucci,солнцезащитные,140,54,19,23590,летняя,женский,средний
007-BLK,кошачий_глаз,металл,белый,Lacoste,оптика,145,46,14,4792,всесезонная,унисекс,средний
007-GRY,кошачий_глаз,комбинированный,черный,Prada,оптика,150,46,15,48830,всесезонная,женский,молодой
007-M003,прямоугольная,металл,белый,Gucci,солнцезащитные,140,48,20,21940,летняя,мужской,пожилой
007-RED,овальная,комбинированный,золотой,Prada,солнцезащитные,140,50,19,13200,летняя,женский,пожилой
0070-9G0,квадратная,металл,серебряный,Oakley,солнцезащитные,140,48,17,22956,летняя,мужской,молодой
0079-ZX9,прямоугольная,металл,черный,Lacoste,оптика,145,52,20,7944,всесезонная,женский,молодой
008-BLK,кошачий_глаз,пластик,синий,Gucci,оптика,140,50,16,9518,всесезонная,мужской,средний
008-PNK,кошачий_глаз,пластик,серый,Gucci,оптика,135,46,19,47816,всесезонная,унисекс,пожилой
008-RED,прямоугольная,металл,белый,Valentino,солнцезащитные,140,52,14,19290,летняя,женский,пожилой
0093-2,круглая,пластик,серый,Prada,оптика,135,52,14,32174,всесезонная,унисекс,пожилой
0094-7WS,кошачий_глаз,титан,черный,Tom Ford,солнцезащитные,130,50,20,45692,летняя,унисекс,пожилой
0095-WTA,кошачий_глаз,комбинированный,серый,Tom Ford,оптика,130,52,20,45388,всесезонная,мужской,пожилой
0099-2M2,овальная,титан,золотой,Tom Ford,солнцезащитные,145,54,19,25006,летняя,женский,средний
009С-С3,круглая,комбинированный,белый,Lacoste,оптика,130,54,16,20327,всесезонная,женский,пожилой
010-GREY,круглая,металл,синий,Polaroid,солнцезащитные,150,52,16,23561,летняя,мужской,пожилой
010-GUN,прямоугольная,титан,серебряный,Prada,солнцезащитные,150,46,15,15132,летняя,женский,пожилой
010M-С3,прямоугольная,титан,черный,Valentino,солнцезащитные,135,50,19,28186,летняя,унисекс,молодой
011-BLACK,квадратная,титан,белый,Prada,солнцезащитные,150,46,20,11146,летняя,женский,средний
011-BLUE,прямоугольная,пластик,белый,Prada,солнцезащитные,150,54,15,43850,летняя,унисекс,молодой
011-NERO,квадратная,пластик,белый,Oakley,оптика,130,54,14,8475,всесезонная,мужской,средний
0113O-003,круглая,пластик,серебряный,Lacoste,солнцезащитные,140,46,20,18988,летняя,мужской,пожилой
0115-2M2,квадратная,металл,синий,Valentino,солнцезащитные,135,54,14,34120,летняя,мужской,молодой
012-A008,круглая,титан,коричневый,Oakley,солнцезащитные,140,46,16,22065,летняя,женский,пожилой
0122-KDX,овальная,титан,золотой,Polaroid,солнцезащитные,130,50,20,23234,летняя,унисекс,средний
0122O-001,кошачий_глаз,титан,черный,Lacoste,солнцезащитные,135,52,20,5711,летняя,унисекс,пожилой
013-BLACK,овальная,металл,серый,Prada,солнцезащитные,135,46,15,30224,летняя,мужской,молодой
013-BROWN,квадратная,металл,черный,Gucci,оптика,150,50,15,10686,всесезонная,женский,пожилой
013-GUN,прямоугольная,титан,серый,Prada,оптика,135,52,16,8504,всесезонная,женский,пожилой
013-SILVER,квадратная,пластик,черный,Gucci,оптика,130,52,19,12008,всесезонная,унисекс,пожилой
0135O-001,кошачий_глаз,пластик,коричневый,Gucci,оптика,130,48,14,9500,всесезонная,унисекс,пожилой
0136-1,круглая,титан,синий,Gucci,солнцезащитные,130,48,18,33698,летняя,мужской,средний
0137O-005,кошачий_глаз,комбинированный,черный,Oakley,оптика,140,48,16,7430,всесезонная,унисекс,молодой
0137O-007,прямоугольная,комбинированный,серый,Lacoste,солнцезащитные,135,50,15,24469,летняя,унисекс,молодой
013С-С1,овальная,титан,золотой,Lacoste,солнцезащитные,150,48,16,22607,летняя,женский,пожилой
014-BDX,прямоугольная,комбинированный,синий,Valentino,солнцезащитные,130,52,18,47324,летняя,мужской,молодой
014-BLACK,кошачий_глаз,пластик,золотой,Valentino,оптика,135,50,15,37040,всесезонная,мужской,средний
014-BLK,кошачий_глаз,пластик,серый,Lacoste,оптика,140,52,18,12996,всесезонная,мужской,молодой
0141OA-004,прямоугольная,металл,золотой,Oakley,оптика,130,48,19,11436,всесезонная,женский,пожилой
0149-807,квадратная,пластик,черный,Ray-Ban,оптика,140,54,19,15676,всесезонная,мужской,средний
015-BLU,кошачий_глаз,металл,черный,Valentino,солнцезащитные,150,46,20,34538,летняя,женский,молодой
015-BROWN,круглая,металл,серебряный,Ray-Ban,солнцезащитные,150,50,17,13426,летняя,мужской,пожилой
015-PINK,кошачий_глаз,пластик,черный,Lacoste,солнцезащитные,145,52,16,11202,летняя,женский,пожилой
0154O-003,круглая,комбинированный,белый,Polaroid,солнцезащитные,130,48,14,6564,летняя,женский,средний
0163-O63,кошачий_глаз,металл,коричневый,Tom Ford,оптика,130,46,16,46458,всесезонная,мужской,молодой
0167O-004,овальная,пластик,белый,Prada,оптика,130,50,16,21314,всесезонная,мужской,молодой
017-300,квадратная,металл,золотой,Polaroid,солнцезащитные,150,48,16,13222,летняя,женский,пожилой
017-BLK,квадратная,пластик,золотой,Ray-Ban,оптика,135,46,20,20602,всесезонная,женский,молодой
017-NERO,прямоугольная,комбинированный,коричневый,Prada,оптика,140,54,15,37170,всесезонная,мужской,средний
017-VLT,кошачий_глаз,титан,серебряный,Ray-Ban,оптика,150,46,15,12903,всесезонная,женский,средний
0172-KDX,овальная,титан,белый,Prada,оптика,140,54,18,44258,всесезонная,женский,средний
018-BROWN,прямоугольная,металл,серый,Prada,солнцезащитные,140,46,18,43534,летняя,унисекс,молодой
018-GOLD,прямоугольная,комбинированный,серый,Polaroid,оптика,145,54,16,16481,всесезонная,женский,средний
0187O-004,круглая,пластик,серый,Prada,оптика,150,48,17,49068,всесезонная,мужской,средний
018S-0700,круглая,титан,серебряный,Polaroid,оптика,140,46,14,3294,всесезонная,женский,пожилой
